Rank,Afrikaans_pattern,Afrikaans_count,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Faroese_pattern,Faroese_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hebrew_pattern,Hebrew_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Irish_pattern,Irish_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Komi_Zyrian_pattern,Komi_Zyrian_count,Korean_pattern,Korean_count,Nenets_pattern,Nenets_count,Norwegian_pattern,Norwegian_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Sanskrit_pattern,Sanskrit_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Tagalog_pattern,Tagalog_count,Tamil_pattern,Tamil_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count,Uzbek_pattern,Uzbek_count,Vietnamese_pattern,Vietnamese_count,Yakut_pattern,Yakut_count
11,NOUN-AUX,625,PROPN-PUNCT,431,NOUN-ADP,474,VERB-NOUN,328,NOUN-NOUN,414,NOUN-VERB,212,PUNCT-PRON,315,PROPN-PUNCT,449,ADJ-PUNCT,398,PROPN-PUNCT,296,ADJ-PUNCT,2460,NOUN-NOUN,584,NOUN-NOUN,326,PRON-VERB,445,NOUN-ADJ,308,DET-PROPN,483,AUX-NOUN,592,PRON-ADV,4,NOUN-ADJ,379,X-NOUN,21,ADV-VERB,140,ADJ-ADP,391,NOUN-ADJ,414,PRON-VERB,43,PRON-VERB,421,ADP-DET,338,PROPN-ADP,10,VERB-PUNCT,49,NOUN-PROPN,475,NOUN-ADV,309,NOUN-ADJ,120,NOUN-PROPN,236,NOUN-ADJ,32
12,PART-VERB,598,PROPN-PROPN,420,VERB-AUX,439,PUNCT-SCONJ,301,ADP-PROPN,409,VERB-ADP,159,VERB-PUNCT,273,ADJ-PUNCT,413,PRON-VERB,365,ADP-NOUN,294,ADP-DET,2444,DET-NOUN,503,PART-VERB,321,NOUN-ADP,416,NOUN-DET,304,ADJ-ADP,411,NUM-NOUN,574,ADV-VERB,4,ADJ-NOUN,378,ADJ-NOUN,21,PRON-PUNCT,138,DET-PROPN,346,NOUN-PROPN,373,NOUN-ADJ,37,ADJ-ADP,367,PROPN-PUNCT,313,PRON-VERB,10,NOUN-ADP,44,ADP-VERB,447,NOUN-PROPN,298,NUM-NOUN,78,VERB-ADV,231,NOUN-PRON,31
13,NOUN-CCONJ,580,ADP-PROPN,398,PROPN-NOUN,383,VERB-PUNCT,300,VERB-DET,403,NOUN-CCONJ,153,AUX-VERB,265,ADJ-NOUN,403,ADJ-ADP,359,ADP-PROPN,288,NOUN-PRON,2350,ADP-VERB,478,VERB-ADV,317,NOUN-DET,365,PROPN-ADP,286,PROPN-PROPN,406,VERB-SCONJ,497,PUNCT-NOUN,3,VERB-PUNCT,323,PUNCT-NOUN,21,X-PUNCT,135,AUX-VERB,346,DET-NOUN,364,PROPN-PROPN,34,ADJ-PUNCT,366,PART-VERB,297,PROPN-PUNCT,7,ADJ-NOUN,40,ADP-PROPN,409,PROPN-PROPN,280,PUNCT-PRON,76,NOUN-ADV,221,PART-PUNCT,28
14,AUX-PUNCT,537,NOUN-PROPN,381,NOUN-ADV,340,VERB-ADP,292,PROPN-PROPN,360,PRON-AUX,133,NOUN-PROPN,253,ADJ-ADP,380,NOUN-VERB,340,PUNCT-PRON,262,ADJ-ADP,2317,PRON-NOUN,425,NOUN-CCONJ,317,ADP-PROPN,335,PART-VERB,275,ADJ-PUNCT,396,SCONJ-VERB,480,PUNCT-PRON,3,NOUN-ADV,275,NUM-NOUN,18,NOUN-ADP,134,PRON-VERB,319,PRON-VERB,347,ADV-PRON,34,ADJ-NOUN,361,VERB-NOUN,294,DET-NOUN,7,VERB-PART,40,DET-VERB,407,NUM-NOUN,268,PUNCT-VERB,68,NUM-NOUN,217,PUNCT-NOUN,26
15,PRON-NOUN,517,ADP-PRON,305,AUX-VERB,320,NOUN-CCONJ,269,NOUN-AUX,326,NUM-NOUN,133,VERB-ADV,250,ADP-PROPN,370,PUNCT-DET,302,PUNCT-SCONJ,251,ADP-PROPN,2290,ADJ-VERB,389,AUX-VERB,283,ADJ-PUNCT,289,ADJ-ADP,275,ADP-PROPN,370,VERB-PUNCT,432,PRON-AUX,3,NOUN-NUM,253,VERB-NOUN,18,PRON-ADV,129,ADJ-NOUN,315,PUNCT-VERB,322,NOUN-ADV,31,AUX-VERB,359,VERB-ADV,291,ADP-DET,7,PART-NOUN,34,NOUN-NUM,348,NOUN-AUX,258,NOUN-PRON,67,ADJ-PUNCT,212,NOUN-AUX,26
16,VERB-ADP,495,PRON-NOUN,284,VERB-PART,313,NOUN-PROPN,262,NOUN-VERB,315,DET-NOUN,129,NOUN-CCONJ,248,PUNCT-DET,335,DET-DET,292,NOUN-CCONJ,251,SCONJ-VERB,2019,VERB-ADP,344,ADP-PRON,282,DET-NOUN,282,ADP-DET,266,ADJ-NOUN,345,AUX-SCONJ,411,VERB-VERB,2,PART-NOUN,246,NOUN-X,17,PRON-PRON,122,PROPN-PROPN,309,VERB-ADJ,277,NOUN-PRON,30,NOUN-VERB,288,NOUN-CCONJ,268,PRON-PRON,7,AUX-PART,33,PROPN-VERB,293,VERB-NOUN,253,DET-NOUN,64,NOUN-PRON,205,ADV-NOUN,18
17,NOUN-PRON,478,PART-VERB,271,PUNCT-PROPN,309,ADJ-ADJ,229,PRON-AUX,293,ADP-ADJ,121,PROPN-PUNCT,227,DET-ADJ,310,VERB-PRON,267,PUNCT-NOUN,233,PROPN-PROPN,1890,NOUN-PUNCT,324,ADV-ADP,275,PUNCT-NOUN,280,PUNCT-VERB,259,PRON-VERB,295,PUNCT-PROPN,397,PROPN-NOUN,2,AUX-PUNCT,236,VERB-VERB,17,ADP-PUNCT,122,NOUN-VERB,282,PUNCT-SCONJ,260,VERB-ADV,30,PUNCT-DET,249,VERB-PRON,245,ADV-ADP,6,ADV-VERB,31,VERB-PART,291,ADJ-DET,248,AUX-PUNCT,60,VERB-ADP,199,NOUN-PUNCT,18
18,CCONJ-NOUN,448,PROPN-ADJ,266,PROPN-PUNCT,304,AUX-ADJ,217,PRON-VERB,291,AUX-ADV,114,PUNCT-SCONJ,226,PRON-AUX,291,ADJ-NOUN,261,VERB-DET,231,NOUN-VERB,1520,AUX-AUX,323,ADP-ADJ,268,AUX-VERB,267,PUNCT-SYM,215,DET-ADJ,286,PROPN-NOUN,394,NOUN-PRON,2,ADV-NOUN,216,NOUN-PUNCT,12,PUNCT-PRON,120,ADP-PROPN,277,VERB-PUNCT,226,PROPN-NOUN,27,DET-ADJ,237,ADP-ADJ,239,ADP-ADP,6,PROPN-VERB,31,AUX-NOUN,275,PUNCT-PROPN,234,ADJ-VERB,58,PROPN-VERB,194,PRON-ADV,17
19,NOUN-PART,434,PROPN-ADP,257,VERB-PROPN,275,ADV-VERB,216,PART-VERB,277,CCONJ-NOUN,109,VERB-ADJ,226,NOUN-VERB,254,PUNCT-VERB,259,PROPN-VERB,230,VERB-NOUN,1508,ADP-DET,322,NOUN-AUX,268,PROPN-VERB,259,VERB-NOUN,210,NOUN-VERB,261,NOUN-PUNCT,382,AUX-AUX,2,AUX-NOUN,205,ADP-NOUN,12,CCONJ-PRON,113,PUNCT-DET,260,NOUN-CCONJ,225,VERB-VERB,22,ADP-VERB,236,AUX-VERB,224,NOUN-SCONJ,6,PART-VERB,29,ADJ-ADP,257,ADP-NOUN,230,NOUN-ADP,56,PUNCT-PUNCT,191,NOUN-NUM,17
20,ADP-PRON,431,PRON-VERB,252,PUNCT-NOUN,274,PUNCT-DET,215,DET-PROPN,257,VERB-NOUN,102,PROPN-VERB,222,DET-PROPN,252,PROPN-PROPN,244,VERB-AUX,226,PUNCT-PUNCT,1497,ADP-PROPN,268,PRON-NOUN,262,NOUN-VERB,251,VERB-PRON,202,PROPN-ADP,240,ADP-ADP,359,VERB-CCONJ,2,NOUN-DET,188,VERB-ADV,11,NOUN-ADV,105,ADP-NUM,246,PUNCT-PRON,213,VERB-PRON,22,PRON-NOUN,210,NOUN-AUX,222,SCONJ-VERB,6,PUNCT-PROPN,29,NUM-NOUN,251,ADV-NOUN,229,NOUN-ADV,54,NOUN-ADP,177,VERB-CCONJ,16
