,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,Nenets,Norwegian,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Sanskrit,0.8344,0.8571,0.8590,0.8315,0.8442,0.7967,0.8228,0.8680,0.8496,0.8378,0.8572,0.8558,0.8339,0.8304,0.8788,0.8674,0.8862,0.8046,0.8513,0.7925,0.7920,0.8637,0.8485,0.0000,0.8585,0.8332,0.7873,0.8175,0.8789,0.8186,0.7632,0.8346,0.8383
Spanish,0.7678,0.6886,0.8011,0.6361,0.6003,0.7972,0.6889,0.4860,0.2475,0.6113,0.7992,0.7563,0.6207,0.6227,0.8287,0.5008,0.7781,0.8453,0.8325,0.8588,0.8453,0.4608,0.6210,0.8585,0.0000,0.6224,0.8473,0.8484,0.7662,0.7496,0.8317,0.8457,0.9146
Swedish,0.7882,0.6575,0.7355,0.5641,0.3426,0.8031,0.5732,0.5099,0.5661,0.4920,0.8029,0.7031,0.4377,0.4931,0.8540,0.5878,0.7668,0.8212,0.7558,0.8382,0.8360,0.5225,0.5704,0.8332,0.6224,0.0000,0.8234,0.8455,0.6746,0.7556,0.8126,0.8206,0.8920
Tagalog,0.8441,0.8154,0.8510,0.8227,0.8331,0.7337,0.8168,0.8488,0.8440,0.8474,0.7626,0.8653,0.8134,0.8108,0.8292,0.8447,0.8759,0.7428,0.8633,0.7830,0.7046,0.8401,0.8336,0.7873,0.8473,0.8234,0.0000,0.8407,0.8717,0.8572,0.8250,0.8159,0.8682
Tamil,0.8252,0.8237,0.8423,0.8370,0.8584,0.8282,0.8172,0.8490,0.8459,0.8296,0.8898,0.8311,0.8303,0.8140,0.8585,0.8491,0.8229,0.8340,0.7981,0.7825,0.8544,0.8692,0.8207,0.8175,0.8484,0.8455,0.8407,0.0000,0.8806,0.7829,0.7747,0.8479,0.8601
Thai,0.8411,0.7892,0.8112,0.7666,0.7103,0.8486,0.7532,0.7043,0.7396,0.7538,0.8577,0.7969,0.6922,0.6339,0.8766,0.7706,0.8196,0.8892,0.8362,0.9185,0.8856,0.7100,0.7156,0.8789,0.7662,0.6746,0.8717,0.8806,0.0000,0.8545,0.8739,0.8760,0.8974
Turkish,0.8179,0.7503,0.7599,0.7323,0.7756,0.8247,0.7389,0.7443,0.7555,0.7325,0.8495,0.7128,0.7889,0.7564,0.8786,0.7769,0.7976,0.8373,0.6945,0.7974,0.8441,0.7606,0.7234,0.8186,0.7496,0.7556,0.8572,0.7829,0.8545,0.0000,0.7488,0.8320,0.8635
Uzbek,0.8091,0.8178,0.7841,0.8103,0.8068,0.7352,0.7889,0.8242,0.8392,0.7960,0.8400,0.8006,0.8120,0.7936,0.8753,0.8461,0.8239,0.7924,0.7782,0.7639,0.8255,0.8253,0.8019,0.7632,0.8317,0.8126,0.8250,0.7747,0.8739,0.7488,0.0000,0.8112,0.7923
Vietnamese,0.8263,0.8434,0.8258,0.8265,0.8210,0.8018,0.8299,0.8214,0.8330,0.8108,0.8191,0.8493,0.8255,0.8229,0.8740,0.8352,0.8660,0.7705,0.8362,0.8261,0.8307,0.8125,0.8194,0.8346,0.8457,0.8206,0.8159,0.8479,0.8760,0.8320,0.8112,0.0000,0.8787
Yakut,0.9106,0.9059,0.8647,0.8820,0.8925,0.8387,0.8770,0.8922,0.9207,0.8702,0.9120,0.9046,0.9008,0.8939,0.9289,0.9017,0.9156,0.8221,0.8638,0.8346,0.8813,0.9058,0.8831,0.8383,0.9146,0.8920,0.8682,0.8601,0.8974,0.8635,0.7923,0.8787,0.0000
