Rank,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Korean_pattern,Korean_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count
11,NOUN-VERB,306,VERB-PROPN,270,PUNCT-DET,218,PUNCT-PROPN,210,PUNCT-SCONJ,185,VERB-VERB,239,VERB-VERB,236,PUNCT-SCONJ,243,VERB-SCONJ,205,VERB-PROPN,185,PUNCT-VERB,278,VERB-PROPN,198,PRON-NOUN,235,PRON-NOUN,166,VERB-PUNCT,206,PUNCT-PRON,253,VERB-VERB,254,NOUN-PRON,196,VERB-ADP,197,ADV-NOUN,195
12,ADJ-NOUN,299,PROPN-PUNCT,268,PUNCT-SCONJ,216,VERB-PROPN,195,VERB-VERB,165,PUNCT-PRON,217,VERB-PROPN,184,PROPN-VERB,241,PUNCT-PRON,181,NOUN-SCONJ,177,VERB-VERB,250,PROPN-PROPN,194,VERB-VERB,177,ADV-NOUN,144,PUNCT-PRON,182,PROPN-VERB,247,NOUN-PRON,193,PRON-NOUN,184,NOUN-PROPN,166,PUNCT-PROPN,180
13,PROPN-PROPN,286,PUNCT-PROPN,259,PROPN-VERB,198,VERB-PUNCT,194,VERB-PROPN,163,VERB-PUNCT,180,NOUN-PRON,183,PUNCT-VERB,204,ADJ-VERB,181,PRON-NOUN,172,VERB-PUNCT,240,VERB-VERB,184,PUNCT-PRON,175,PROPN-PUNCT,133,PUNCT-PROPN,179,PUNCT-PUNCT,192,VERB-PROPN,169,VERB-PROPN,174,VERB-PRON,157,NOUN-PROPN,160
14,PUNCT-NOUN,239,PROPN-VERB,236,ADJ-PUNCT,173,VERB-VERB,178,NOUN-PROPN,153,NOUN-PRON,180,PUNCT-PROPN,156,PRON-VERB,197,SCONJ-NOUN,176,VERB-VERB,170,VERB-PROPN,235,PUNCT-PROPN,172,PROPN-PUNCT,172,ADJ-PUNCT,130,VERB-PROPN,166,VERB-VERB,192,VERB-PUNCT,144,PUNCT-VERB,169,PROPN-NOUN,127,ADJ-PUNCT,146
15,NOUN-ADJ,231,NOUN-PART,215,VERB-VERB,158,PUNCT-PRON,160,PRON-NOUN,152,VERB-PROPN,160,VERB-PUNCT,139,PROPN-NOUN,170,NOUN-PROPN,167,SCONJ-NOUN,167,PUNCT-PROPN,196,NOUN-PRON,154,PUNCT-ADP,163,PUNCT-PROPN,117,VERB-VERB,158,PUNCT-SCONJ,181,PUNCT-PROPN,141,PROPN-NOUN,137,VERB-ADJ,112,CCONJ-NOUN,137
16,VERB-PROPN,228,PUNCT-PRON,195,NOUN-ADJ,155,PROPN-PROPN,150,PUNCT-VERB,140,PUNCT-PROPN,152,PROPN-NOUN,125,ADJ-PUNCT,169,PUNCT-PROPN,159,PUNCT-VERB,162,PROPN-NOUN,173,PROPN-NOUN,148,NOUN-PROPN,160,PART-NOUN,110,NOUN-PRON,136,VERB-PROPN,139,NUM-PUNCT,108,VERB-PUNCT,126,NOUN-PUNCT,111,NOUN-ADV,129
17,PRON-PUNCT,176,VERB-PRON,182,DET-VERB,154,ADJ-PUNCT,128,PROPN-NOUN,137,PRON-PRON,126,PUNCT-PUNCT,117,ADV-NOUN,169,ADP-NOUN,157,SCONJ-VERB,152,PUNCT-PRON,168,VERB-PUNCT,134,PROPN-VERB,139,NOUN-ADV,109,NUM-PUNCT,134,VERB-PRON,134,PROPN-NOUN,107,VERB-VERB,126,DET-NOUN,103,VERB-VERB,115
18,PUNCT-PUNCT,158,PROPN-NOUN,170,PROPN-NOUN,134,PROPN-NOUN,126,ADJ-PUNCT,129,NUM-PUNCT,123,PUNCT-PRON,117,AUX-NOUN,166,CCONJ-NOUN,157,PROPN-NOUN,142,ADJ-PUNCT,146,ADJ-NOUN,101,ADJ-VERB,116,PROPN-PROPN,106,PROPN-NOUN,115,PUNCT-PROPN,132,PUNCT-PRON,104,ADJ-NOUN,124,VERB-DET,102,PRON-NOUN,103
19,VERB-PRON,149,PRON-NOUN,166,PRON-VERB,131,NOUN-PRON,121,PUNCT-PROPN,123,PUNCT-PUNCT,122,VERB-PRON,109,NOUN-AUX,154,ADJ-PUNCT,148,VERB-PUNCT,109,PRON-ADJ,143,NUM-PUNCT,98,ADJ-PUNCT,99,PUNCT-PART,100,ADJ-PUNCT,98,ADJ-NOUN,131,SCONJ-NOUN,90,PUNCT-PRON,111,NOUN-ADV,91,VERB-CCONJ,91
20,ADJ-PUNCT,136,ADP-NOUN,162,PUNCT-PUNCT,129,PUNCT-PUNCT,120,SCONJ-NOUN,106,PROPN-NOUN,116,PRON-NOUN,104,VERB-PRON,144,PROPN-VERB,143,PUNCT-SCONJ,108,PROPN-PROPN,139,NOUN-ADJ,96,PUNCT-ADJ,92,NOUN-PRON,91,VERB-SCONJ,96,ADJ-PUNCT,130,NOUN-NUM,86,SCONJ-NOUN,109,NOUN-PRON,90,PROPN-PROPN,80
