,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,Nenets,Norwegian,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Hindi,0.7085,0.6456,0.6665,0.6362,0.6162,0.7572,0.6261,0.6510,0.6605,0.6328,0.7522,0.0000,0.6237,0.6401,0.7801,0.6649,0.5802,0.7946,0.6221,0.8055,0.8609,0.6434,0.6313,0.8106,0.6468,0.6245,0.8172,0.7447,0.7019,0.5946,0.7238,0.7488,0.8602
Icelandic,0.7332,0.6377,0.6415,0.5691,0.4657,0.7479,0.5058,0.5105,0.5449,0.5334,0.7582,0.6237,0.0000,0.5446,0.7783,0.5889,0.6869,0.7577,0.6548,0.7865,0.8282,0.5402,0.5227,0.7660,0.5544,0.3767,0.8004,0.7586,0.6257,0.6958,0.7178,0.7422,0.8463
Indonesian,0.7597,0.6009,0.6243,0.5550,0.4234,0.7567,0.5571,0.5181,0.5597,0.5963,0.7475,0.6401,0.5446,0.0000,0.7877,0.5364,0.7225,0.7628,0.6313,0.8117,0.8291,0.4758,0.5330,0.7955,0.5531,0.4576,0.7969,0.7567,0.5953,0.6982,0.7296,0.7468,0.8730
Irish,0.7810,0.7725,0.7955,0.7982,0.7951,0.7995,0.8081,0.7800,0.7726,0.7896,0.7801,0.7801,0.7783,0.7877,0.0000,0.7684,0.7839,0.8110,0.7885,0.8489,0.8837,0.7828,0.7760,0.8212,0.7810,0.8081,0.8152,0.7779,0.7743,0.7921,0.8118,0.7992,0.8854
Italian,0.6989,0.6460,0.6762,0.5758,0.4935,0.7659,0.6183,0.4364,0.4341,0.5584,0.7425,0.6649,0.5889,0.5364,0.7684,0.0000,0.7049,0.7784,0.6756,0.8266,0.8380,0.4040,0.5512,0.8215,0.4458,0.5354,0.8160,0.7768,0.6933,0.6922,0.7659,0.7459,0.8747
Japanese,0.7252,0.7085,0.6835,0.6828,0.6962,0.7906,0.7018,0.6937,0.6983,0.6980,0.7711,0.5802,0.6869,0.7225,0.7839,0.7049,0.0000,0.8206,0.6545,0.8188,0.8805,0.7052,0.6819,0.8428,0.6950,0.6882,0.8402,0.7445,0.7295,0.6685,0.7495,0.7715,0.8875
Komi_Zyrian,0.8126,0.7696,0.7645,0.7573,0.7746,0.7045,0.7349,0.7872,0.7874,0.7758,0.7852,0.7946,0.7577,0.7628,0.8110,0.7784,0.8206,0.0000,0.7636,0.6634,0.7792,0.7856,0.7563,0.7478,0.7862,0.7570,0.7195,0.7344,0.8259,0.7826,0.6935,0.7478,0.7856
Korean,0.7422,0.6516,0.5905,0.6287,0.6471,0.7289,0.5990,0.6679,0.6734,0.6505,0.7474,0.6221,0.6548,0.6313,0.7885,0.6756,0.6545,0.7636,0.0000,0.7756,0.8529,0.6718,0.6266,0.7656,0.6699,0.6434,0.8121,0.7034,0.6944,0.5185,0.6867,0.7269,0.8439
Nenets,0.7880,0.8190,0.7576,0.7836,0.8090,0.7004,0.7624,0.8204,0.8167,0.8000,0.7855,0.8055,0.7865,0.8117,0.8489,0.8266,0.8188,0.6634,0.7756,0.0000,0.7876,0.8338,0.8088,0.7372,0.8133,0.7888,0.6886,0.7412,0.8426,0.7432,0.7016,0.7566,0.7516
Norwegian,0.8366,0.8421,0.8582,0.8150,0.8344,0.7893,0.8383,0.8357,0.8519,0.8507,0.8592,0.8609,0.8282,0.8291,0.8837,0.8380,0.8805,0.7792,0.8529,0.7876,0.0000,0.8403,0.8417,0.8069,0.8483,0.8330,0.7589,0.8370,0.8762,0.8348,0.8307,0.8255,0.8868
Portuguese,0.7122,0.6107,0.6647,0.5768,0.3770,0.7697,0.5925,0.3687,0.3219,0.5308,0.7340,0.6434,0.5402,0.4758,0.7828,0.4040,0.7052,0.7856,0.6718,0.8338,0.8403,0.0000,0.5365,0.8187,0.3907,0.4756,0.8286,0.7814,0.6497,0.6920,0.7494,0.7370,0.8765
Russian,0.7124,0.6301,0.6187,0.4569,0.5242,0.7277,0.5318,0.5235,0.5274,0.5417,0.7344,0.6313,0.5227,0.5330,0.7760,0.5512,0.6819,0.7563,0.6266,0.8088,0.8417,0.5365,0.0000,0.7829,0.5558,0.4823,0.7910,0.7490,0.6482,0.6437,0.7077,0.7321,0.8697
Sanskrit,0.7973,0.8016,0.7737,0.7851,0.7837,0.7648,0.7692,0.8005,0.8134,0.7981,0.8256,0.8106,0.7660,0.7955,0.8212,0.8215,0.8428,0.7478,0.7656,0.7372,0.8069,0.8187,0.7829,0.0000,0.8083,0.7752,0.7703,0.7813,0.8287,0.7550,0.7088,0.7683,0.8241
Spanish,0.7042,0.6352,0.6900,0.5656,0.5050,0.7573,0.6097,0.4065,0.2159,0.5487,0.7391,0.6468,0.5544,0.5531,0.7810,0.4458,0.6950,0.7862,0.6699,0.8133,0.8483,0.3907,0.5558,0.8083,0.0000,0.5601,0.8172,0.7739,0.6627,0.6692,0.7223,0.7441,0.8852
Swedish,0.7151,0.6023,0.6412,0.5010,0.2894,0.7362,0.4744,0.4736,0.5179,0.4445,0.7470,0.6245,0.3767,0.4576,0.8081,0.5354,0.6882,0.7570,0.6434,0.7888,0.8330,0.4756,0.4823,0.7752,0.5601,0.0000,0.8115,0.7591,0.6098,0.6943,0.7164,0.7408,0.8579
Tagalog,0.8036,0.7871,0.8012,0.7819,0.8220,0.6798,0.7860,0.8264,0.8237,0.8293,0.7669,0.8172,0.8004,0.7969,0.8152,0.8160,0.8402,0.7195,0.8121,0.6886,0.7589,0.8286,0.7910,0.7703,0.8172,0.8115,0.0000,0.7753,0.8479,0.8019,0.7097,0.7904,0.8086
Tamil,0.7602,0.7522,0.7414,0.7657,0.7662,0.7276,0.7527,0.7703,0.7735,0.7609,0.7902,0.7447,0.7586,0.7567,0.7779,0.7768,0.7445,0.7344,0.7034,0.7412,0.8370,0.7814,0.7490,0.7813,0.7739,0.7591,0.7753,0.0000,0.7811,0.7043,0.6905,0.7368,0.8187
Thai,0.7500,0.6758,0.6748,0.6870,0.6116,0.7993,0.6650,0.6430,0.6491,0.7068,0.7984,0.7019,0.6257,0.5953,0.7743,0.6933,0.7295,0.8259,0.6944,0.8426,0.8762,0.6497,0.6482,0.8287,0.6627,0.6098,0.8479,0.7811,0.0000,0.7308,0.7698,0.7803,0.8675
Turkish,0.7255,0.6701,0.6387,0.6396,0.6841,0.7376,0.6360,0.6841,0.6764,0.6562,0.7520,0.5946,0.6958,0.6982,0.7921,0.6922,0.6685,0.7826,0.5185,0.7432,0.8348,0.6920,0.6437,0.7550,0.6692,0.6943,0.8019,0.7043,0.7308,0.0000,0.6667,0.7116,0.8405
Uzbek,0.7675,0.7129,0.6751,0.6957,0.7104,0.6831,0.6742,0.7509,0.7488,0.7072,0.7606,0.7238,0.7178,0.7296,0.8118,0.7659,0.7495,0.6935,0.6867,0.7016,0.8307,0.7494,0.7077,0.7088,0.7223,0.7164,0.7097,0.6905,0.7698,0.6667,0.0000,0.7209,0.7546
Vietnamese,0.7575,0.7206,0.6997,0.7306,0.7545,0.7362,0.7413,0.7530,0.7529,0.7526,0.7536,0.7488,0.7422,0.7468,0.7992,0.7459,0.7715,0.7478,0.7269,0.7566,0.8255,0.7370,0.7321,0.7683,0.7441,0.7408,0.7904,0.7368,0.7803,0.7116,0.7209,0.0000,0.8335
Yakut,0.8723,0.8690,0.8485,0.8497,0.8621,0.7819,0.8265,0.8646,0.8813,0.8570,0.8428,0.8602,0.8463,0.8730,0.8854,0.8747,0.8875,0.7856,0.8439,0.7516,0.8868,0.8765,0.8697,0.8241,0.8852,0.8579,0.8086,0.8187,0.8675,0.8405,0.7546,0.8335,0.0000
