Rank,Afrikaans_pattern,Afrikaans_count,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Faroese_pattern,Faroese_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hebrew_pattern,Hebrew_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Irish_pattern,Irish_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Komi_Zyrian_pattern,Komi_Zyrian_count,Korean_pattern,Korean_count,Nenets_pattern,Nenets_count,Norwegian_pattern,Norwegian_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Sanskrit_pattern,Sanskrit_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Tagalog_pattern,Tagalog_count,Tamil_pattern,Tamil_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count,Uzbek_pattern,Uzbek_count,Vietnamese_pattern,Vietnamese_count,Yakut_pattern,Yakut_count
11,obj-case,558,amod-punct,458,acl-mark,249,conj-punct,229,nsubj-root,287,nmod-punct,165,nsubj-aux,185,case-obl,424,obj-case,425,nsubj-case,300,det-nsubj,1766,case-compound,341,mark-fixed,223,flat-punct,265,case-det,245,obl-punct,415,case-punct,706,nsubj-advmod,3,compound-obj,246,nmod-nsubj,19,root-advmod,116,obl-punct,435,nmod-case,267,obj-root,28,det-obj,415,amod-obl,251,advmod-advmod,14,obj-advcl,33,obj-case,284,amod-det,190,amod-obl,61,punct-conj,160,root-aux,22
12,det-nsubj,538,obl-punct,374,advmod-root,247,punct-nsubj,223,det-obl,284,case-root,157,nmod-nmod,183,obj-case,396,obl-punct,396,amod-obl,291,obl-det,1755,root-punct,325,obl-case,214,nmod-case,264,nmod-nmod,244,obj-case,373,root-aux,652,punct-mark,2,obl-compound,196,advmod-parataxis,18,nsubj-aux,111,obj-case,405,punct-nsubj,262,nmod-obj,27,root-case,362,amod-nmod,245,obl-case,12,aux-mark,32,obj-acl,277,conj-punct,190,punct-obl,60,root-punct,143,amod-nsubj,21
13,nsubj-case,480,obl-amod,330,root-punct,245,obj-punct,214,det-nmod,282,cc-conj,153,obl-case,182,aux-root,338,amod-case,332,punct-nsubj,265,nmod-case,1747,aux-aux,322,nsubj-aux,214,root-obj,255,parataxis-parataxis,242,amod-punct,328,compound-nmod,647,root-xcomp,2,obl-root,194,discourse-obl,18,nsubj-cop,104,amod-punct,331,nmod-nmod,254,nsubj-nmod,26,obj-case,356,nsubj-case,239,root-advmod,11,aux-aux,25,acl-case,273,amod-case,184,amod-nsubj,60,compound-punct,131,cc-conj,21
14,amod-nmod,440,nsubj-nmod,314,nsubj-root,242,amod-obj,208,det-nsubj,268,amod-root,150,nsubj-cop,177,punct-det,336,amod-punct,330,cc-conj,263,mark-acl,1741,obj-root,295,nsubj-cop,202,acl-case,231,case-xcomp,227,amod-case,308,case-advcl,641,xcomp-obj,2,nsubj-advmod,188,discourse-nmod,16,cop-advmod,96,root-case,328,punct-mark,240,obj-advcl,25,amod-case,309,case-amod,225,obj-punct,11,ccomp-mark,22,obl-compound,270,det-obl,163,obj-advcl,60,advmod-advmod,114,nmod-nsubj,21
15,aux-punct,426,obl-case,287,nummod-clf,241,nmod-case,207,root-case,264,cop-amod,142,amod-nsubj,175,amod-punct,332,punct-det,301,conj-punct,263,compound-case,1594,nsubj-case,253,root-case,196,obl-punct,219,punct-root,218,det-amod,305,acl-aux,587,root-obl,2,nummod-obl,185,advmod-discourse,15,case-nmod,92,amod-case,311,nsubj-punct,235,obl-root,25,amod-punct,301,amod-nsubj,220,advmod-case,9,ccomp-aux,21,nsubj-compound,235,nmod-amod,161,obl-root,59,cc-conj,106,det-obj,18
16,nmod-punct,423,nsubj-case,230,obj-mark,229,nmod-nmod,199,det-compound,263,punct-nsubj,139,nmod-nsubj,174,det-amod,292,det-det,288,compound-punct,258,acl-case,1594,amod-obj,239,nsubj-acl,183,root-case,214,obl-case,217,root-case,297,punct-compound,547,nmod-nsubj,2,acl-obl,176,case-discourse,15,obj-punct,92,nsubj-case,276,root-case,234,nsubj-punct,24,nsubj-case,293,amod-obj,219,root-punct,9,obj-root,21,aux-root,227,obl-acl,159,obj-root,57,mark-nsubj,103,det-obl,17
17,amod-obj,417,nsubj-amod,207,obl-case,226,amod-amod,195,punct-nsubj,252,conj-punct,121,nmod-punct,168,root-case,289,nsubj-case,267,obl-case,257,nmod-det,1554,case-det,232,amod-nsubj,178,nsubj-root,199,xcomp-case,211,aux-root,270,case-obl,537,punct-orphan,2,nsubj-acl,176,obj-discourse,14,nmod-punct,88,punct-det,258,obj-punct,224,obl-advmod,18,det-amod,268,nsubj-acl,217,advmod-punct,8,amod-nmod,20,obl-case,203,amod-obl,159,obl-case,55,conj-punct,102,punct-conj,16
18,case-amod,401,punct-root,207,mark-compound,216,root-case,192,cc-conj,250,case-amod,118,amod-obl,167,nsubj-aux,286,root-case,261,nmod-punct,256,root-case,1540,compound-obl,220,root-nsubj,177,nsubj-advmod,196,det-obl,209,nsubj-case,263,case-nmod,519,conj-root,2,nmod-compound,175,discourse-obj,14,punct-advmod,87,cc-conj,254,conj-punct,207,amod-obl,18,punct-det,261,obj-punct,209,case-det,7,nummod-nummod,20,nsubj-root,182,compound-punct,158,obl-compound,55,advmod-punct,102,root-cc,15
19,amod-nsubj,399,obj-nmod,174,mark-obj,215,root-punct,191,amod-obl,247,nmod-cop,103,amod-obj,157,amod-case,274,nmod-amod,259,punct-mark,254,punct-punct,1497,amod-nmod,199,advmod-case,174,nmod-flat,194,root-nsubj,187,nmod-amod,244,mark-fixed,483,aux-aux,2,obj-root,175,nsubj-root,14,punct-discourse,86,nmod-amod,249,obj-case,203,obl-nmod,17,nmod-amod,247,root-case,192,case-root,6,acl-nmod,19,obl-appos,165,obl-case,154,conj-punct,55,clf-nsubj,100,root-discourse,15
20,conj-punct,382,obj-case,166,nummod-obl,200,nsubj-punct,173,obj-punct,229,cop-case,93,punct-cc,155,nsubj-case,252,cc-conj,259,nsubj-det,249,compound-det,1475,obj-case,189,nsubj-case,172,flat-flat,184,obl-nmod,186,punct-det,235,advcl-aux,431,aux-root,2,cop-punct,170,nsubj-discourse,14,cc-advmod,84,nsubj-root,225,obl-case,201,root-nsubj,16,cc-conj,238,mark-mark,191,case-case,6,obj-acl,19,mark-nsubj,163,root-cop,153,nmod-nsubj,54,xcomp-obj,96,obl-amod,14
