Rank,Afrikaans_pattern,Afrikaans_count,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Faroese_pattern,Faroese_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hebrew_pattern,Hebrew_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Irish_pattern,Irish_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Komi_Zyrian_pattern,Komi_Zyrian_count,Korean_pattern,Korean_count,Nenets_pattern,Nenets_count,Norwegian_pattern,Norwegian_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Sanskrit_pattern,Sanskrit_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Tagalog_pattern,Tagalog_count,Tamil_pattern,Tamil_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count,Uzbek_pattern,Uzbek_count,Vietnamese_pattern,Vietnamese_count,Yakut_pattern,Yakut_count
11,NOUN-PRON-NOUN,231,NOUN-PRON-NOUN,164,PUNCT-NOUN-VERB,181,NOUN-VERB-PUNCT,139,NOUN-NOUN-VERB,145,ADJ-NOUN-PUNCT,64,PROPN-VERB-NOUN,139,NOUN-PROPN-PUNCT,183,PUNCT-NOUN-NOUN,177,PROPN-VERB-PUNCT,142,PUNCT-PROPN-PUNCT,918,PUNCT-NOUN-PUNCT,132,NOUN-PROPN-PUNCT,109,NOUN-PUNCT-NOUN,204,NOUN-PUNCT-NOUN,138,PUNCT-VERB-NOUN,159,VERB-NOUN-PUNCT,191,VERB-PUNCT-PRON,2,NOUN-NOUN-ADJ,160,PUNCT-NOUN-VERB,10,SCONJ-PRON-VERB,48,PUNCT-VERB-NOUN,168,NOUN-PROPN-PUNCT,213,ADV-NOUN-NOUN,19,PUNCT-NOUN-NOUN,184,NOUN-PUNCT-NOUN,128,PRON-VERB-PUNCT,6,PROPN-PROPN-NOUN,26,DET-VERB-NOUN,176,PROPN-NOUN-NOUN,126,VERB-NOUN-VERB,76,PROPN-VERB-NOUN,115,NOUN-VERB-VERB,9
12,VERB-ADP-NOUN,178,PROPN-NOUN-NOUN,158,VERB-NOUN-NOUN,178,NOUN-NOUN-PROPN,129,VERB-NOUN-VERB,141,NOUN-NOUN-PROPN,62,NOUN-PUNCT-NOUN,136,PROPN-VERB-NOUN,157,PROPN-VERB-NOUN,170,VERB-PUNCT-SCONJ,138,PUNCT-NOUN-NOUN,821,PRON-NOUN-NOUN,130,VERB-VERB-NOUN,104,NOUN-NOUN-PRON,186,NOUN-PROPN-PROPN,137,NOUN-NOUN-PROPN,158,PUNCT-NOUN-PUNCT,182,PRON-PRON-VERB,2,PUNCT-NOUN-NOUN,136,NOUN-VERB-VERB,8,PUNCT-PRON-VERB,48,PROPN-VERB-NOUN,162,PUNCT-PRON-VERB,173,PROPN-NOUN-NOUN,18,PUNCT-VERB-NOUN,179,VERB-NOUN-VERB,110,NOUN-VERB-PUNCT,4,NOUN-PROPN-PROPN,24,PROPN-VERB-NOUN,168,PROPN-PUNCT-NOUN,102,PUNCT-NOUN-PUNCT,61,NOUN-VERB-VERB,112,PRON-NOUN-NOUN,7
13,PUNCT-NOUN-PUNCT,173,NOUN-NOUN-ADJ,143,NOUN-PART-NOUN,165,PUNCT-NOUN-NOUN,124,PUNCT-NOUN-NOUN,123,NOUN-VERB-PUNCT,56,NOUN-VERB-PUNCT,135,PUNCT-VERB-NOUN,147,NOUN-PUNCT-VERB,159,PUNCT-PRON-NOUN,125,VERB-NOUN-VERB,711,PROPN-NOUN-VERB,123,SCONJ-VERB-NOUN,101,PUNCT-NOUN-NOUN,171,PROPN-PUNCT-VERB,125,PRON-VERB-NOUN,156,VERB-NOUN-NOUN,168,NOUN-NOUN-VERB,1,VERB-NOUN-VERB,124,PUNCT-VERB-PUNCT,7,AUX-PRON-VERB,47,NOUN-PUNCT-VERB,152,NOUN-NOUN-PROPN,161,PRON-NOUN-VERB,17,NOUN-PUNCT-VERB,175,PUNCT-NOUN-PUNCT,101,NOUN-NOUN-VERB,4,VERB-VERB-PUNCT,22,DET-VERB-VERB,127,PUNCT-NOUN-PUNCT,98,PRON-NOUN-VERB,59,PUNCT-NOUN-VERB,92,PRON-NOUN-PUNCT,7
14,ADP-NOUN-NOUN,167,PRON-NOUN-NOUN,141,PUNCT-VERB-NOUN,164,PUNCT-NOUN-PUNCT,122,PUNCT-NOUN-VERB,111,PROPN-NOUN-NOUN,52,VERB-VERB-NOUN,108,PUNCT-PRON-VERB,135,NOUN-NOUN-PROPN,150,PRON-NOUN-NOUN,122,PROPN-PUNCT-PUNCT,598,NOUN-NOUN-PUNCT,117,PUNCT-NOUN-PUNCT,101,NOUN-NOUN-VERB,171,PROPN-PUNCT-PROPN,120,VERB-NOUN-PROPN,148,PUNCT-PROPN-NOUN,154,PRON-VERB-VERB,1,NOUN-ADJ-PUNCT,115,NOUN-NOUN-ADV,7,VERB-PRON-PUNCT,45,NOUN-NOUN-PROPN,146,PUNCT-NOUN-NOUN,158,VERB-VERB-PUNCT,16,VERB-VERB-NOUN,165,VERB-VERB-NOUN,90,PRON-PRON-PUNCT,4,PROPN-NOUN-PROPN,21,PROPN-VERB-VERB,118,NOUN-ADJ-PUNCT,96,VERB-VERB-VERB,57,PUNCT-VERB-NOUN,83,PUNCT-NOUN-PUNCT,6
15,ADP-NOUN-VERB,163,NOUN-PRON-VERB,135,PART-NOUN-PUNCT,156,PUNCT-DET-VERB,104,PUNCT-PRON-VERB,110,PRON-NOUN-PUNCT,50,PUNCT-NOUN-NOUN,91,NOUN-NOUN-PROPN,133,VERB-NOUN-VERB,147,PRON-VERB-PUNCT,118,NOUN-PUNCT-PROPN,527,ADJ-VERB-PUNCT,112,PUNCT-NOUN-NOUN,95,VERB-NOUN-PROPN,154,PUNCT-NOUN-PUNCT,107,NOUN-PUNCT-VERB,138,PROPN-NOUN-NOUN,149,VERB-NOUN-NOUN,1,NOUN-NOUN-PROPN,114,VERB-PUNCT-ADV,7,PUNCT-INTJ-PUNCT,42,PUNCT-NOUN-PUNCT,123,NOUN-PUNCT-PRON,151,NOUN-VERB-VERB,15,NOUN-NOUN-PROPN,154,PUNCT-NOUN-NOUN,88,VERB-PROPN-NOUN,4,NOUN-NOUN-PROPN,19,ADP-NOUN-VERB,117,ADJ-NOUN-VERB,91,NOUN-NOUN-PUNCT,56,PUNCT-NOUN-PUNCT,81,VERB-PUNCT-ADV,6
16,NOUN-NOUN-PRON,159,ADJ-NOUN-NOUN,134,VERB-NOUN-PART,127,PROPN-VERB-NOUN,103,VERB-VERB-NOUN,109,AUX-DET-NOUN,44,PUNCT-NOUN-PUNCT,83,NOUN-PUNCT-VERB,123,VERB-VERB-NOUN,139,VERB-NOUN-PUNCT,117,NOUN-PROPN-PUNCT,476,PUNCT-PRON-NOUN,108,SCONJ-NOUN-VERB,93,VERB-VERB-NOUN,151,PROPN-PROPN-PUNCT,105,VERB-VERB-NOUN,132,NOUN-PUNCT-PROPN,147,VERB-VERB-PUNCT,1,ADJ-NOUN-NOUN,103,ADV-NOUN-NOUN,7,VERB-PRON-PRON,41,VERB-NOUN-VERB,117,PROPN-VERB-NOUN,151,VERB-NOUN-PUNCT,12,NOUN-PRON-VERB,152,VERB-NOUN-PROPN,84,NOUN-ADP-PRON,4,NOUN-VERB-PROPN,17,PRON-VERB-NOUN,114,PUNCT-NOUN-VERB,91,PRON-NOUN-NOUN,43,PUNCT-NOUN-NOUN,71,ADV-PRON-VERB,6
17,PRON-VERB-NOUN,158,VERB-NOUN-PRON,131,PRON-VERB-NOUN,124,ADJ-NOUN-PUNCT,101,PUNCT-VERB-NOUN,109,PRON-VERB-NOUN,42,VERB-PUNCT-SCONJ,80,NOUN-PRON-VERB,117,NOUN-PRON-VERB,132,PUNCT-NOUN-VERB,110,VERB-VERB-NOUN,474,PROPN-NOUN-NOUN,105,VERB-PRON-NOUN,92,PUNCT-VERB-NOUN,149,NOUN-PROPN-NOUN,105,VERB-NOUN-VERB,131,NOUN-VERB-VERB,141,NOUN-PUNCT-VERB,1,VERB-NOUN-PUNCT,92,X-NOUN-VERB,6,NOUN-PRON-VERB,41,VERB-VERB-NOUN,113,PUNCT-NOUN-PUNCT,137,ADV-PRON-VERB,12,VERB-NOUN-VERB,148,NOUN-PUNCT-VERB,81,ADP-PRON-PRON,4,VERB-PROPN-NOUN,15,PRON-VERB-VERB,111,NOUN-VERB-VERB,90,PUNCT-PUNCT-VERB,42,NOUN-PUNCT-VERB,70,VERB-PUNCT-VERB,6
18,VERB-PUNCT-AUX,144,VERB-NOUN-PUNCT,131,PUNCT-PRON-VERB,112,NOUN-PUNCT-VERB,100,VERB-NOUN-PROPN,108,AUX-NOUN-NOUN,41,PUNCT-SCONJ-NOUN,79,VERB-NOUN-VERB,109,VERB-NOUN-PROPN,107,PRON-NOUN-VERB,105,PRON-VERB-NOUN,448,NOUN-VERB-SCONJ,101,SCONJ-PRON-VERB,84,VERB-NOUN-VERB,141,VERB-PRON-NOUN,99,NOUN-PROPN-VERB,104,NOUN-ADJ-NOUN,122,PUNCT-VERB-NOUN,1,VERB-NOUN-ADJ,88,PRON-NOUN-VERB,6,PRON-NOUN-PUNCT,41,PUNCT-PRON-VERB,109,VERB-VERB-NOUN,134,PRON-VERB-PUNCT,12,VERB-NOUN-PROPN,119,VERB-PRON-NOUN,78,PRON-VERB-NOUN,4,PROPN-PUNCT-PROPN,15,NOUN-NOUN-DET,95,VERB-NOUN-VERB,90,VERB-NOUN-NOUN,37,SCONJ-NOUN-VERB,68,PUNCT-VERB-PUNCT,5
19,NOUN-NOUN-AUX,132,VERB-NOUN-PROPN,130,VERB-VERB-PUNCT,110,VERB-VERB-NOUN,98,NOUN-PUNCT-VERB,106,NOUN-PROPN-NOUN,41,NOUN-VERB-PROPN,77,PUNCT-NOUN-PUNCT,106,PUNCT-NOUN-PUNCT,94,PUNCT-SCONJ-NOUN,103,NOUN-PUNCT-PUNCT,441,VERB-SCONJ-NOUN,100,NOUN-VERB-PRON,83,NOUN-PROPN-VERB,128,VERB-NOUN-ADP,95,PROPN-PROPN-PUNCT,103,ADJ-NOUN-VERB,119,VERB-NOUN-VERB,1,PRON-NOUN-NOUN,84,PUNCT-NOUN-NOUN,6,NOUN-ADV-PUNCT,37,PUNCT-PROPN-PUNCT,99,VERB-NOUN-PROPN,102,VERB-PRON-NOUN,11,PUNCT-NOUN-PUNCT,97,PUNCT-VERB-NOUN,74,PROPN-PROPN-PUNCT,3,VERB-VERB-NOUN,13,VERB-ADP-NOUN,95,ADJ-NOUN-PUNCT,88,VERB-NOUN-PUNCT,34,NOUN-PROPN-VERB,67,PROPN-NOUN-VERB,5
20,NOUN-AUX-NOUN,131,NOUN-NOUN-VERB,127,NOUN-VERB-PROPN,101,VERB-PUNCT-SCONJ,94,PUNCT-PROPN-PUNCT,88,PRON-NOUN-NOUN,39,PUNCT-VERB-NOUN,70,PRON-PRON-VERB,104,VERB-PROPN-PUNCT,92,VERB-PUNCT-NOUN,96,PUNCT-NOUN-VERB,439,NOUN-ADJ-VERB,95,NOUN-SCONJ-VERB,83,PUNCT-PRON-VERB,122,NOUN-PROPN-PUNCT,93,NOUN-PRON-VERB,102,VERB-VERB-PUNCT,115,PROPN-NOUN-VERB,1,PUNCT-NOUN-PUNCT,81,VERB-PUNCT-VERB,5,VERB-NOUN-NOUN,37,VERB-NOUN-PROPN,94,NOUN-PROPN-VERB,89,ADV-PRON-NOUN,11,NOUN-PROPN-VERB,94,NOUN-NOUN-PROPN,73,VERB-PRON-ADV,3,ADV-NOUN-VERB,13,NOUN-VERB-ADP,82,VERB-VERB-PUNCT,88,VERB-PUNCT-PUNCT,34,VERB-VERB-PUNCT,67,PUNCT-ADV-VERB,5
