,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,Nenets,Norwegian,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Nenets,0.7163,0.8002,0.7195,0.7509,0.7147,0.5608,0.7045,0.7569,0.7314,0.7478,0.6925,0.7181,0.7078,0.7564,0.8312,0.7292,0.7317,0.6400,0.7101,0.0000,0.6715,0.7521,0.7636,0.7289,0.7381,0.7204,0.5872,0.6885,0.8161,0.6903,0.6473,0.7262,0.7242
Norwegian,0.8103,0.8149,0.8073,0.8057,0.8184,0.7603,0.8101,0.8068,0.8048,0.8403,0.8119,0.8047,0.8195,0.7743,0.8853,0.8033,0.8160,0.7345,0.8210,0.6715,0.0000,0.8114,0.8094,0.8212,0.7880,0.8134,0.6884,0.7959,0.8792,0.8035,0.7567,0.7948,0.8357
Portuguese,0.6713,0.5500,0.5254,0.4834,0.3018,0.6653,0.4077,0.3077,0.3230,0.4750,0.6857,0.5069,0.3849,0.3382,0.7567,0.3528,0.5889,0.6532,0.5303,0.7521,0.8114,0.0000,0.4163,0.7418,0.3863,0.3582,0.7643,0.6876,0.6207,0.5881,0.6604,0.6721,0.8192
Russian,0.6475,0.5545,0.5332,0.4396,0.4303,0.6666,0.4234,0.3864,0.3768,0.4623,0.6786,0.5231,0.4180,0.4212,0.7580,0.4329,0.5565,0.6708,0.5057,0.7636,0.8094,0.4163,0.0000,0.7469,0.4079,0.4117,0.7624,0.6938,0.6352,0.5843,0.6427,0.6727,0.8190
Sanskrit,0.7385,0.7680,0.7473,0.7358,0.7469,0.7111,0.7319,0.7186,0.7190,0.7525,0.7645,0.7252,0.7270,0.7505,0.7696,0.7483,0.7397,0.7394,0.7359,0.7289,0.8212,0.7418,0.7469,0.0000,0.7157,0.7279,0.7349,0.7486,0.7890,0.6946,0.7092,0.7274,0.7779
Spanish,0.6404,0.5217,0.5519,0.4565,0.4401,0.6178,0.4506,0.3914,0.2151,0.5485,0.6711,0.5324,0.4504,0.4197,0.7298,0.3763,0.5898,0.6801,0.5158,0.7381,0.7880,0.3863,0.4079,0.7157,0.0000,0.4555,0.7404,0.6566,0.6101,0.5709,0.6145,0.6619,0.8097
Swedish,0.6309,0.5381,0.5126,0.4677,0.2409,0.6436,0.3837,0.3378,0.4122,0.4066,0.6984,0.5159,0.2800,0.3708,0.7641,0.4422,0.5518,0.6616,0.5182,0.7204,0.8134,0.3582,0.4117,0.7279,0.4555,0.0000,0.7287,0.6710,0.5869,0.5878,0.6359,0.6852,0.7993
Tagalog,0.7570,0.7727,0.7241,0.7550,0.7289,0.5723,0.7053,0.7676,0.7395,0.7714,0.6690,0.7479,0.7169,0.7462,0.8163,0.7020,0.7492,0.6372,0.7019,0.5872,0.6884,0.7643,0.7624,0.7349,0.7404,0.7287,0.0000,0.7258,0.8330,0.6899,0.6245,0.7460,0.7031
Tamil,0.6722,0.6772,0.6518,0.7070,0.6628,0.6340,0.6488,0.6756,0.6744,0.6859,0.7416,0.6449,0.6381,0.6692,0.7224,0.6548,0.6207,0.6578,0.6324,0.6885,0.7959,0.6876,0.6938,0.7486,0.6566,0.6710,0.7258,0.0000,0.7132,0.6025,0.6476,0.6863,0.7792
Thai,0.6785,0.6798,0.5819,0.6425,0.5922,0.7621,0.6036,0.6006,0.5998,0.6784,0.7646,0.6746,0.5836,0.5761,0.7768,0.6329,0.6524,0.7806,0.6361,0.8161,0.8792,0.6207,0.6352,0.7890,0.6101,0.5869,0.8330,0.7132,0.0000,0.6756,0.7432,0.7109,0.8049
Turkish,0.6459,0.5842,0.5178,0.5933,0.5806,0.5848,0.5276,0.5955,0.5820,0.5702,0.7056,0.4669,0.5702,0.5971,0.7345,0.5654,0.5429,0.6854,0.4448,0.6903,0.8035,0.5881,0.5843,0.6946,0.5709,0.5878,0.6899,0.6025,0.6756,0.0000,0.6003,0.6768,0.7403
Uzbek,0.6882,0.6685,0.6032,0.6519,0.6110,0.5932,0.5751,0.6381,0.6436,0.6397,0.6812,0.5763,0.6176,0.6475,0.7900,0.6640,0.6023,0.6288,0.6381,0.6473,0.7567,0.6604,0.6427,0.7092,0.6145,0.6359,0.6245,0.6476,0.7432,0.6003,0.0000,0.6787,0.7384
Vietnamese,0.6873,0.6946,0.6683,0.7016,0.6650,0.6833,0.6578,0.6641,0.6561,0.7091,0.6935,0.6703,0.6710,0.6705,0.7584,0.6783,0.6501,0.6947,0.6812,0.7262,0.7948,0.6721,0.6727,0.7274,0.6619,0.6852,0.7460,0.6863,0.7109,0.6768,0.6787,0.0000,0.8226
Yakut,0.8041,0.8353,0.7746,0.8063,0.7954,0.7073,0.7693,0.8133,0.8061,0.8152,0.7990,0.7757,0.7729,0.8018,0.8717,0.7900,0.7862,0.7684,0.7708,0.7242,0.8357,0.8192,0.8190,0.7779,0.8097,0.7993,0.7031,0.7792,0.8049,0.7403,0.7384,0.8226,0.0000
